SECTION,LABOR_GROUP,WONUM,WODESC,TASKNUM,TASKDESC,EPLAN_STATUS,MAXIMO_STATUS,REPORT_DATE,DUE_DATE,FIXED_DATE,NUMBER_OF_DAYS,DAY_NUMBER,CREW_SIZE,HOURS,PLAN_HOURS,PRIORITY,PERSON_GROUP,WORK_ORDER_TYPE,JOB_PLAN_NUMBER,TASK_TYPE,PM_NUM,ACCOUNT_NUMBER,STATION,LOCATION,OUTAGE_REQUIRED,OUTAGE_START,OUTAGE_END,DOWNTIME,ASSET_CATEGORY,FAILURE_CODE,WORK_OBJECTIVES,WORK_STEPS,TOOLS_EQUIPMENT,MATERIALS,OTHER_GROUPS,PROFICIENCY_NBRS
SSO Manh Maint,MANH - E13th St / ER,0006281459,TIE TR 1 - SECONDARY THROAT LEAK,,,POUTG,POUTG,2006-11-22 11:34:35,2006-11-30,,1,2,3,12,36,5,,ENVR,SSO-TG-RP-OILLE,,,NOM-000-99999,M-ER 60-004A-S,MW-ER-4A-TRF-1,True,,,1,TRANSF,SSO-TRF-REA-REG,,,HAND TOOLS AND CONTAINMENT,,,49
SSO Manh Maint,MANH - TRF,0012158877,TAP CHANGER LEAKING,,,SCHED,POUTG,2013-08-01 14:07:30,,2021-04-06,5,1,2,8,16,5,TRFGRP,ENVR,,,,NOM-000-99999,M-ER 60-004A-S,MW-ER-4A-REG-114,True,2021-04-06 07:00:00,2021-04-10 23:00:00,1,PHAREG,SSO-TRF-REA-REG,,,HAND TOOLS,,,49
SSO Manh Maint,MANH - TRF,0012158877,TAP CHANGER LEAKING,,,SCHED,POUTG,2013-08-01 14:07:30,,2021-04-07,5,2,2,8,16,5,TRFGRP,ENVR,,,,NOM-000-99999,M-ER 60-004A-S,MW-ER-4A-REG-114,True,2021-04-06 07:00:00,2021-04-10 23:00:00,1,PHAREG,SSO-TRF-REA-REG,,,HAND TOOLS,,,49
SSO Manh Maint,MANH - TRF,0012158877,TAP CHANGER LEAKING,,,SCHED,POUTG,2013-08-01 14:07:30,,2021-04-08,5,3,2,8,16,5,TRFGRP,ENVR,,,,NOM-000-99999,M-ER 60-004A-S,MW-ER-4A-REG-114,True,2021-04-06 07:00:00,2021-04-10 23:00:00,1,PHAREG,SSO-TRF-REA-REG,,,HAND TOOLS,,,49
SSO Manh Maint,MANH - TRF,0012158877,TAP CHANGER LEAKING,,,SCHED,POUTG,2013-08-01 14:07:30,,2021-04-09,5,4,2,8,16,5,TRFGRP,ENVR,,,,NOM-000-99999,M-ER 60-004A-S,MW-ER-4A-REG-114,True,2021-04-06 07:00:00,2021-04-10 23:00:00,1,PHAREG,SSO-TRF-REA-REG,,,HAND TOOLS,,,49
SSO Manh Maint,MANH - TRF,0012158877,TAP CHANGER LEAKING,,,SCHED,POUTG,2013-08-01 14:07:30,,2021-04-10,5,5,2,8,16,5,TRFGRP,ENVR,,,,NOM-000-99999,M-ER 60-004A-S,MW-ER-4A-REG-114,True,2021-04-06 07:00:00,2021-04-10 23:00:00,1,PHAREG,SSO-TRF-REA-REG,,,HAND TOOLS,,,49
SSO Manh Maint,MANH - TRF,0012158880,TAP CHANGER AND MAIN BODY VALVE LEAKING,,,POUTG,POUTG,2013-08-01 14:23:52,,,1,2,2,12,24,5,TRFGRP,ENVR,,,,NOM-000-99999,M-ER 60-004A-S,MW-ER-4A-TRF-1,True,,,1,TRANSF,SSO-TRF-REA-REG,,,HAND TOOLS ,,,49
SSO Manh Maint,MANH - TRF,0012384773,LEAKING TRANSFORMER SHELL - CONTACTOR LEAKING,,,POUTG,POUTG,2013-10-31 14:57:28,,,1,2,2,8,16,5,TRFGRP,ENVR,SSO-TG-STAINS,,,NOM-000-99999,M-W42 2-348-S,MW-W42-348-TRF-10,True,,,1,TRANSF,SSO-TRF-REA-REG,,,HAND TOOLS AND CONTAINMENTS,,,49
SSO Manh Maint,MANH - ASM,0014048949,RUSTED TOP PART OF DOOR FRAME,,,UNASSIGNED,APPR,2015-07-22 16:10:22,,,1,1,1,8,8,5,AUXSUP,FM,,,,NOM-000-99999,M-E13 345-304-S,MW-E13-304-PHS-8,False,,,0,PUMPHOUS,,,,,,,59
SSO Manh Maint,MANH - Seaport,0013066454,LEONARD ST 1 - REPLACE PH RELAY IN SOCCS PANEL FOR TRANSFORMER 2 TAP CHANGER REMOTE CONTROL,,,UNASSIGNED,APPR,2014-07-02 13:23:01,2014-08-31,,1,1,1,8,8,5,,SUPT,,,,NOM-000-99999,M-LEO 1-310-S,ME-LEO-310-TRF-2S-LTC,False,,,0,TAPCHNG,SSO-LTC,,,,,,59
