SECTION,LABOR_GROUP,WONUM,WODESC,TASKNUM,TASKDESC,EPLAN_STATUS,MAXIMO_STATUS,REPORT_DATE,DUE_DATE,FIXED_DATE,NUMBER_OF_DAYS,DAY_NUMBER,CREW_SIZE,HOURS,PLAN_HOURS,PRIORITY,PERSON_GROUP,WORK_ORDER_TYPE,JOB_PLAN_NUMBER,TASK_TYPE,PM_NUM,ACCOUNT_NUMBER,STATION,LOCATION,OUTAGE_REQUIRED,OUTAGE_START,OUTAGE_END,DOWNTIME,ASSET_CATEGORY,FAILURE_CODE,WORK_OBJECTIVES,WORK_STEPS,TOOLS_EQUIPMENT,MATERIALS,OTHER_GROUPS,PROFICIENCY_NBRS
SSO BX WC Maint,BX WC - Bronx,12481207,"BKR 3W HYDRAULIC OIL LEAK, 6OZ, ON CEMENT PAD.",,,PLAN,POUTG,12/11/2013 9:55,,,1,1,2,8,16,3,,ENVR,,,,NOM-000-99999,X-179 138-450-S,X-E179-450-BKR-3W,TRUE,,,1,GCB/FA2,SSO-BREAKER HV,,Troubleshoot Hydraulic Leak On Actuator.  Follow Merlin Gerin Filling and Draining Hydraulic Circuits Procedure. When Leak is repaired perform a timing test on the breaker. (Use whichever Timing Set You Prefer),Hand Tools Mangnometer Tygon Tubing,Diapers Bucket Hydraulic Fluid,OtherGroups,51
SSO BX WC Maint,BX WC - Bronx,13842746,CHECK AND REPAIR CONCRETE PAD ON 138KV BREAKER 5E,,,PLAN,APPR,4/22/2015 19:09,,,1,1,1,8,8,5,,FM,,,,NOM-000-99999,X-SC 138-003B-S,X-SC-3B,FALSE,,,0,STATION-TRANS,,,,,,,59
SSO BX WC Maint,BX WC - Bronx,13842832,UPGRADE HEATER IN 13KV BUS SECTION 1N/2S,,,PLAN,APPR,4/22/2015 19:22,,,1,1,1,8,8,5,,FM,,,,NOM-000-99999,X-SC13-003C-S,X-SC-3C,FALSE,,,0,STATION-DIST,,,,,,,59
SSO BX WC Maint,BX WC - Bronx,13842833,UPGRADE HEATER ON 13KV BUS SECTION 5N/6S,,,PLAN,APPR,4/22/2015 19:24,,,1,1,1,8,8,5,,FM,,,,NOM-000-99999,X-SC13-003C-S,X-SC-3C,FALSE,,,0,STATION-DIST,,,,,,,59
SSO BX WC Maint,BX WC - Westchester,8326056,ROCKVIEW - TRF2 DELUGE REPAIRS - VENDOR WORK -,,,UNASSIGNED,POUTG,7/24/2008 15:11,12/1/2008,,1,1,2,2,4,5,TRFGRP,SUPT,SSO-FM-SUPT,,,NOM-000-99999,W-ROCKVIEW-638-S,WS-RVW-638-TRF-2,TRUE,,,1,TRANSF,SSO-TRF-REA-REG,"Take a picture of each one of the bushing nameplates (Bushings 69kV and up).  Once a picture of each nameplate is taken, the picture is to be sent to field equipment engineering to analyze and validate.   Equipment engineering will verify type of bushing and asset management to upload nameplate data into the MTL if information is not already in place. The information will then be gathered and retained in the MTL for Con Edison records. ",Have job briefing and discuss HPI tools  Set up ladder and maintain clearance from all energized equipment  Take a photo of each bushing nameplate and record bushing information for bushings 69kV and above. The photo must show the manufacturer and catalogue/model number and serial number of the bushing. Also record the information.  Upload photos for review and send to the following for validation  dl-maximoadmins@coned.com  SEField&Equipment@coned.com BRYANS@coned.com  ,Ladder Ladder Belt Camera,,,49
SSO BX WC Maint,BX WC - WC North,14037980,ALUMINUM WELD FOR MECHANICAL STOP BROKEN,,,SCHED,POUTG,7/11/2015 14:49,,,2,1,1,8,8,5,SSO-MECH,CM,,,,NOM-000-99999,W-PVILLE-668-S,WN-PVLL-668-DSW-B2-A,TRUE,,,1,DSW-HORZMO,SSO-DISC SWITCH,,,,,,59
SSO BX WC Maint,BX WC - WC North,14037980,ALUMINUM WELD FOR MECHANICAL STOP BROKEN,,,SCHED,POUTG,7/11/2015 14:49,,,2,2,1,8,8,5,SSO-MECH,CM,,,,NOM-000-99999,W-PVILLE-668-S,WN-PVLL-668-DSW-B2-A,TRUE,,,1,DSW-HORZMO,SSO-DISC SWITCH,,,,,,59
SSO BX WC Maint,BX WC - WC North,14037983,CAST STEEL COUPLING ABOVE DISCONNECT BOX IS CRACKED - FDR Y87,,,PLAN,POUTG,7/11/2015 18:09,,,1,1,1,8,8,5,SSO-MECH,CM,,,,NOM-000-99999,W-PVILLE-668-S,WN-PVLL-668-DSW-B2-A,TRUE,,,1,DSW-HORZMO,SSO-DISC SWITCH,,,,,,16
SSO BX WC Maint,BX WC - ASM,12839818,DUNWOODIE 72 PURS VARIOUS LEAK REPAIRS,,,PLAN,APPR,4/24/2014 19:54,,,1,1,1,8,8,5,AUXSUP,ENVR,,,,NOM-000-99999,W-DUN CCP-239-S,WS-DUN-239-PUR-72,FALSE,,,0,PURS,,,,,,,34
SSO BX WC Maint,BX WC - ASM,10704452,FLUIDS IN MOAT,,,PLAN,APPR,12/13/2011 11:28,,,1,1,2,8,16,5,AUXSUP,ENVR,,,,NOM-000-99999,W-DUN 345-634-S,WS-DUN-634-PHS-4,FALSE,,,0,PUMPHOUS,,,,,,,34
