Plan Day,WONUM,EmployeeID,Start Date/Time,Finish Date/Time
1,0016510638,1197,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0014942479,1823,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0015489533,24752,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0015578499,15492,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0016385345,9030,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0016756393,33142,2021-03-08 08:00:00,2021-03-08 08:00:00
1,0016617582,33142,2021-03-08 09:00:00,2021-03-08 10:00:00
1,0016661548,33142,2021-03-08 11:00:00,2021-03-08 16:00:00
1,0016678449-01,7328,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0016283332,7270,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0016260865,24441,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0015107756,16743,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0014780628,20602,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0016278051-01,18004,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0014601183,4203,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0015912645,30885,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0016345320,601,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0015334462,1775,2021-03-08 08:00:00,2021-03-08 16:00:00
4,0016464834,22201,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0014367643,24346,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0016387049,22336,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0016317361,4443,2021-03-08 08:00:00,2021-03-08 16:00:00
6,0015987864,25803,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0016864746,13945,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0015489531,30192,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0015489544,24327,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0015489536,21572,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0014826780,19743,2021-03-08 08:00:00,2021-03-08 16:00:00
1,0016511275,2102,2021-03-08 08:00:00,2021-03-08 16:00:00
